Date,offline AHMS,offline AHMS with irrigation,GLEAM
197901,0.105149,0.105694,
197902,0.152401,0.15652,
197903,0.356606,0.375408,
197904,0.795193,0.857813,
197905,1.057402,1.166546,
197906,1.848115,1.985201,
197907,2.282758,2.374496,
197908,2.048846,2.123726,
197909,1.152839,1.20776,
197910,0.692052,0.713224,
197911,0.175473,0.179765,
197912,0.049801,0.050237,
198001,0.037583,0.037861,5.642222229
198002,0.090307,0.093763,8.120545612
198003,0.333884,0.359731,15.97646001
198004,0.790067,0.872101,28.03461145
198005,1.21856,1.355911,38.75468616
198006,1.868508,2.036957,51.08693375
198007,2.100237,2.2586,59.56253918
198008,1.71324,1.810123,61.90219339
198009,1.11972,1.173358,44.60667419
198010,0.555614,0.576494,24.57475239
198011,0.236083,0.244136,13.04683395
198012,0.059129,0.059699,6.797159249
198101,0.031233,0.031444,6.230956218
198102,0.089932,0.091869,8.668798977
198103,0.368195,0.409943,18.62854089
198104,0.790644,0.875657,32.23115706
198105,1.006267,1.145693,36.23741078
198106,1.725472,1.902455,48.75880252
198107,2.294134,2.423213,72.51076276
198108,1.759336,1.861652,58.98703363
198109,1.170633,1.225379,40.98063603
198110,0.585626,0.606051,23.93836229
198111,0.169879,0.173431,8.612240394
198112,0.044972,0.045227,5.33182534
198201,0.040508,0.040797,7.339949609
198202,0.0895,0.093656,9.288196109
198203,0.371808,0.408967,20.02170879
198204,0.688141,0.777333,28.85342694
198205,1.176225,1.317992,41.19749015
198206,1.6874,1.861197,45.78049636
198207,1.772999,1.937265,51.04161829
198208,1.662314,1.760983,57.26627324
198209,1.119073,1.174236,40.56714142
198210,0.627353,0.649816,26.41385486
198211,0.199946,0.204561,11.30749955
198212,0.048065,0.048337,5.629931247
198301,0.032613,0.032849,6.141729814
198302,0.077168,0.078035,9.276216184
198303,0.286231,0.316538,16.99190794
198304,0.828585,0.910908,32.33601387
198305,1.454261,1.586753,50.45268695
198306,1.843007,2.008581,55.95776568
198307,1.955834,2.114526,58.75489941
198308,1.833859,1.940245,61.36010316
198309,1.300154,1.357838,48.03227256
198310,0.693245,0.715635,24.35306511
198311,0.28616,0.293616,13.51161744
198312,0.062315,0.062729,7.000993575
198401,0.032737,0.03293,6.090602799
198402,0.066049,0.066585,8.31678658
198403,0.323841,0.354609,18.30869759
198404,0.819314,0.908888,33.66577588
198405,1.450366,1.581273,52.94238457
198406,1.964814,2.107988,57.88892103
198407,2.151033,2.297166,68.85921956
198408,2.038127,2.129097,70.82675626
198409,1.205221,1.264971,42.26540785
198410,0.702949,0.727581,26.49540519
198411,0.219781,0.227688,10.70298652
198412,0.048286,0.048748,4.737515164
198501,0.036336,0.036508,5.429563127
198502,0.098335,0.100324,8.527109709
198503,0.285193,0.314641,15.18845991
198504,0.807875,0.902327,33.7404835
198505,1.509023,1.628438,51.25244916
198506,1.8961,2.062724,54.33438271
198507,2.212774,2.358278,67.43101746
198508,1.852275,1.955919,61.94878111
198509,1.212289,1.268058,39.75507607
198510,0.700605,0.724317,26.47456819
198511,0.228787,0.234866,11.19177828
198512,0.045692,0.046148,6.168385915
198601,0.045488,0.045827,7.534446162
198602,0.09129,0.09293,9.824478033
198603,0.341637,0.372696,20.67207066
198604,0.671681,0.76142,29.86716448
198605,1.246904,1.396688,43.83207837
198606,1.980401,2.137717,55.40140576
198607,2.150954,2.313277,61.86184968
198608,1.747592,1.854374,59.45298389
198609,0.96725,1.025289,37.90990608
198610,0.45721,0.476547,22.02201112
198611,0.137646,0.142316,9.642080979
198612,0.046914,0.047242,5.605018779
198701,0.045284,0.045633,7.27688398
198702,0.123478,0.128749,10.66537926
198703,0.333235,0.365211,18.4540831
198704,0.782828,0.875884,29.92330929
198705,1.167149,1.307595,38.10415858
198706,1.927589,2.085785,56.31972774
198707,2.050934,2.237343,60.59082575
198708,1.80314,1.907495,65.04710412
198709,1.086886,1.143981,45.11821394
198710,0.52633,0.547343,23.07177801
198711,0.220214,0.228196,10.29866641
198712,0.060265,0.06068,6.217187121
,,,6.599277007
,,,8.19391884
,,,13.86259364
,,,26.99742048
,,,52.63625806
,,,59.20831629
,,,72.50646656
,,,63.56896484
,,,43.4464259
,,,23.32902519
,,,11.74946359
,,,6.860649189
